Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy
104,ARE, Agricultural Business Management 3. ,"
Insights into the management skills of a successful agribusiness firm manager. A topical approach to analytical and planning techniques applicable to business decisions. Managerial concepts such as financial analysis, budgeting, investment analysis, capital acquisition, financial and risk management of agribusiness firms. HENDRICKSON.
",UG,,,2019-2020,,,
106,ARE, Agri Business Law 3. ,"
The application of legal principles to agribusiness. Includes a review of our legal system contracts, real property, personal property torts, business organization, estate planning, and laws affecting agribusiness.
",UG,,,2019-2020,,,
112,ARE, Agricultural & Agribusiness Marketing 3. ,"
Marketing concepts, techniques and management of the U.S. marketing system from agricultural production, agribusiness, and traditional business perspectives. Broad, basic knowledge of marketing objectives, the marketing environment, strategic planning, marketing information sources, consumer demographics and lifestyle characteristics, product planning, distribution planning, promotion planning, and price planning. PHILLIPS.
",UG,,,2019-2020,,,
114,ARE, Value Added Agriculture and Niche Marketing 3. ,"
Value Added Agriculture and Niche Marketing are ways to increase farm revenue without having to go off farm for employment. This course is designed to provide insights into the opportunities that are available to increase farm revenue, to see what other farms are currently doing with value added within the region, and to create a value added business plan for expanding farm offerings. Site visits are required components of this course. University transportation provided to all site visits. Student transportation (estimated at $30 per student and site visit (estimated at $7 each for 2 sites) fees apply.
",UG,,,2019-2020,,,
115,ARE, Agribusiness Accounting 3. ,"
Introduction to basic accounting principles and concepts applicable to an agribusiness firm. Exposure to journals, ledgers and financial statements. Topics of the accounting cycle, inventories, payrolls, accounts receivable, income taxes and the potential use of computers. RUSS.
",UG,,,2019-2020,,,
132,ARE, Management of Personnel 3. ,"
Personnel problems of recruiting, selecting, training, paying, and motivating employees of an agribusiness firm. Improving organizational effectiveness, functioning of a production supervisor, resolution of conflicts and leadership development. PHILLIPS.
",UG,,,2019-2020,,,
133,ARE, Agricultural & Environmental Policy 3. ,"
History of agricultural and environmental policy, policy formation, agricultural programs, effects of agricultural production on the environment, benefits and costs of agricultural and environmental policy, state of the environment, environmental regulations and their enforcement, optimal level of pollution, incentive-based environmental regulation, outlook for agricultural and environmental policy, and the sustainability of agriculture and of the environment. RUSS.
",UG,,,2019-2020,,,
194,ARE, International Agribusiness Management Study Abroad 1-6. ,"
This course is designed to maximize student potential for success by developing a globally and multi-culturally competent agricultural and agribusiness workforce.  This course addresses these issues by providing opportunities for students to study abroad in various locations around the world, with different destinations offered each academic year.  Credit hours are variable based on length or travel and classroom instruction pre- and post-travel consistent with NCSU policies and practices.  Course may be repeated for credit to visit different destinations only.  Significant expenses for travel are involved.  Please see the instructor for specific program details.
",UG,,,2019-2020,,,
201,ARE, Introduction to Agricultural & Resource Economics 3. ,"
Introduction to economic principles of marginal benefits and costs with application to consumer and producer decisions. Functions of market exchange systems in determining prices and quantities and creation of wealth. Property rights and opportunities for exchange. Role of government in dealing with agricultural and resource problems. Macroeconomic analysis including inflation, unemployment, money and banking system.  Credit will not be given for both ARE 201 and either EC 201 or EC 205.
",UG,,,2019-2020,,,
201A,ARE, Introduction to Agricultural & Resource Economics 3. AGI Students Only. ,"
Introduction to economic principles of marginal benefits and costs with application to consumer and producer decisions. Functions of market exchange systems in determining prices and quantities and creation of wealth. Property rights and opportunities for exchange. Role of government in dealing with agricultural and resource problems. Macroeconomic analysis including inflation, unemployment, money and banking system.  Credit will not be given for both ARE 201 and either EC 201 or EC 205.
",UG,,,2019-2020,,,
270,ARE, Principles of Agribusiness Entrepreneurship 3. Corequisite: ARE 201. ,"
Principles of Agribusiness Entrepreneurship is the first course of three in the Agribusiness Entrepreneurship course sequence. It teaches students the applied entrepreneurship skills needed to identify and create an opportunity in agribusiness and how to develop a business canvas model and conduct a feasibility analysis for a real business idea. Students attend class at the NC State E-Clinic in HQ Raleigh for four classes and transportation is included.
",UG,,,2019-2020,,,
295,ARE, Special Topics in Agricultural & Resource Economics (200 Level) 1-6. ,"
An offering of new freshman to sophmore-level courses on trial basis with topics varying based on offerings. Repetition with different course content acceptable up to 4 times and for a total of 12 units.
",UG,,,2019-2020,,,
304,ARE, Agribusiness Management 3. Prerequisite: ARE 201 or EC 201 or EC 205. ,"
Management decision-making by food, fiber, horticulture, and forestry firms.  Emphasis on current agribusiness topics such as information utilization, strategic planning, organization structures, competitor intelligence, pricing, leadership, crisis management, ethics, and human resource management.  Business communications, agribusiness case studies, and a computerized management simulation game.
",UG,,,2019-2020,,,
304,ARE, Agribusiness Management 3. Prerequisite: ARE 201 or EC 201 or EC 205. ,"
Management decision-making by food, fiber, horticulture, and forestry firms.  Emphasis on current agribusiness topics such as information utilization, strategic planning, organization structures, competitor intelligence, pricing, leadership, crisis management, ethics, and human resource management.  Business communications, agribusiness case studies, and a computerized management simulation game.
",UG,,,2019-2020,,,
306,ARE, Agricultural Law 3. Prerequisite: ARE 201 or EC 201 or EC 205. ,"
Legal principles of practical importance in an agricultural setting: the court system; tort, contract and real and personal property law; legal aspects of organizing an agribusiness; environmental and labor regulations affecting agriculture; income and estate taxation of agriculture.  Credit for both ARE 306 and BUS 307 is not allowed.
",UG,,,2019-2020,,,
