Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy
110,ABEN, Introduction to Agricultural and Biosystems Engineering.  3 Credits.,"
Introduction to agricultural and biosystems engineering (ABEN) for students interested in pursuing the major and profession. Content emphasizes ABEN sub-disciplines through engineering problem solving and introductory design. 2 lectures. 1 laboratory. Prereq: MATH 103 or MATH 107.
",,,,2020-2021,,,
263,ABEN, Biological Materials Processing.  3 Credits.,"
Quantitative analysis of processing systems for food, biofuels and bioproducts using principles of mass and energy balances, fluid flow, steam properties and heat and mass transfer. 2 lectures, 1 three-hour laboratory. Prereq: ABEN 255. Co-req: ME 221. S.
",,,,2020-2021,,,
358,ABEN, Electric Energy Application in Agriculture.  3 Credits.,"
Electrical distribution/services. Electrical control units, solid state and digital electronics, electromagnetic sensors, and sensing techniques with applications to food, agricultural, and biological systems. 2 lectures, 1 three-hour laboratory. Prereq: PHYS 252. F.
",,,,2020-2021,,,
358,ABEN, Electric Energy Application in Agriculture.  3 Credits.,"
Electrical distribution/services. Electrical control units, solid state and digital electronics, electromagnetic sensors, and sensing techniques with applications to food, agricultural, and biological systems. 2 lectures, 1 three-hour laboratory. Prereq: PHYS 252. F.
",,,,2020-2021,,,
377,ABEN, Numerical Modeling in Agricultural and Biosystems Engineering.  3 Credits.,"
Numerical modeling using finite element and other techniques. Engineering applications include modeling of stress/strain, heat, and mass transfer in physical, natural resource, and biological systems such as grain and food products. 3 lectures. Prereq: MATH 266, ME 223. S.
",,,,2020-2021,,,
377,ABEN, Numerical Modeling in Agricultural and Biosystems Engineering.  3 Credits.,"
Numerical modeling using finite element and other techniques. Engineering applications include modeling of stress/strain, heat, and mass transfer in physical, natural resource, and biological systems such as grain and food products. 3 lectures. Prereq: MATH 266, ME 223. S.
",,,,2020-2021,,,
458,ABEN," Process Engineering for Food, Biofuels and Bioproducts.  3 Credits.","
Analysis and design of processing systems to preserve, purify and/or transform biological materials and products, especially through refrigeration, freezing, sterilization, aseptic processing, dehydration, extraction, distillation and chemical reaction. 3 lectures. Prereq: ABEN 263. F {Also offered for graduate credit - see ABEN 658.}.
",,,,2020-2021,,,
473,ABEN, Agricultural Power.  3 Credits.,"
Theory, analysis, and testing of internal combustion engines, traction, power trains, hydraulic systems, vehicle dynamics, stability, and ergonomics in tractor design. Electrical power units including motors. Alternative energy systems. 2 lectures, 1 three-hour laboratory. Prereq: ME 350. F  {Also offered for graduate credit - see ABEN 673 .}.
",,,,2020-2021,,,
478,ABEN, Machinery Analysis & Design.  3 Credits.,"
Principles of design, development, and testing of agricultural machines and machine systems.  Applications of computer aided design and FMEA. Prereq: ME 223. S  {Also offered for graduate credit - see ABEN 678 .}.
",,,,2020-2021,,,
484,ABEN, Drainage and Wetland Engineering.  3 Credits.,"
Drainage and wetland engineering principles, design, and water quality for agricultural and natural resources applications.  Topics include soil, water, and plant relationships, water movement in soils, water quality (nitrogen and salinity), surface drainage, subsurface drainage and its modeling, and wetlands.  Prereq CE 309 or SOIL 433.  {Also offered for graduate credit - see ABEN 684.}.
",,,,2020-2021,,,
658,ABEN," Process Engineering for Food, Biofuels and Bioproducts.  3 Credits.","
Analysis and design of processing systems to preserve, purify and/or transform biological materials and products, especially through refrigeration, freezing, sterilization, aseptic processing, dehydration, extraction, distillation and chemical reaction. F {Also offered for undergraduate credit - see ABEN 458.}.
",,,,2020-2021,,,
673,ABEN, Agricultural Power.  3 Credits.,"
Theory, analysis, and testing of internal combustion engines, traction, power trains, hydraulic systems, vehicle dynamics, stability, and ergonomics in tractor design. Electrical power units including motors. Alternative energy systems. 2 lectures, 1 three-hour laboratory. F {Also offered for undergraduate credit - see ABEN 473 .}.
",,,,2020-2021,,,
678,ABEN, Machinery Analysis & Design.  3 Credits.,"
Principles of design, development, and testing of agricultural machines and machine systems.  Applications of computer aided design and FMEA. S  {Also offered for undergraduate credit - see ABEN 478 .}.
",,,,2020-2021,,,
684,ABEN, Drainage and Wetland Engineering.  3 Credits.,"
Drainage and wetland engineering principles, design, and water quality for agricultural and natural resources applications.  Topics include soil, water, and plant relationships, water movement in soils, water quality (nitrogen and salinity), surface drainage, subsurface drainage and its modeling, and wetlands.  {Also offered for undergraduate credit - see ABEN 484.}.
",,,,2020-2021,,,
115,ASM, Fundamentals of Agricultural Systems Management.  3 Credits.,"
Overview of agricultural systems management; engines, machinery, structures, electricity, processing, and conservation. 3 lectures. Co-req: MATH 103 or MATH 104 or MATH 107 or placement.
",,,,2020-2021,,,
125,ASM, Fabrication & Construction Technology.  3 Credits.,"
Introduction to materials, methods, and tools used in fabrication, installation, and maintenance of agricultural production and processing facilities. 2 lectures, 1 three-hour laboratory.
",,,,2020-2021,,,
