Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy
5000,AGIN,Master's Thesis/Report in International Agriculture,"For students working on a masters degree in International Agriculture. Independent research and thesis under the direction and supervision of a major professor.

Offered for variable credit, 1-6 credit hours, maximum of 6 credit hours.
",Graduate,Independent Study,False,2019-2020,,,
5312,AGIN,Applied Issues in International Agriculture and Natural Resources,"Applied global issues in international agriculture and natural resource development, including sustainability, food security, trade, project evaluation, and international agricultural institutions. Written and oral reports and discussion of selected topics. Previously offered as AG 5010.

",Graduate,Lecture,False,2019-2020,,,
5312,AGIN,Applied Issues in International Agriculture and Natural Resources,"Applied global issues in international agriculture and natural resource development, including sustainability, food security, trade, project evaluation, and international agricultural institutions. Written and oral reports and discussion of selected topics. Previously offered as AG 5010.

",Graduate,Lecture,False,2019-2020,,,
5333,AGIN,Guided Reading in International Agriculture and Natural Resources,"Understanding of international agricultural development objectives, challenges, and solutions to the most critical problems facing the developing world's food and agricultural systems, through readings of a set of classic and contemporary books and constructing book reports.

",Graduate,Lecture,False,2019-2020,,,
5333,AGIN,Guided Reading in International Agriculture and Natural Resources,"Understanding of international agricultural development objectives, challenges, and solutions to the most critical problems facing the developing world's food and agricultural systems, through readings of a set of classic and contemporary books and constructing book reports.

",Graduate,Lecture,False,2019-2020,,,
5353,AGIN,Advanced Case Studies in Agricultural Marketing and International Development,"Advanced real world issues in marketing and international development of agricultural and food products. Development of an understanding of issues facing policy makers, producers, consumers, and other groups in examining the costs and benefits of various international marketing, trade and development programs. 

",Graduate,Lecture,False,2019-2020,,,
5353,AGIN,Advanced Case Studies in Agricultural Marketing and International Development,"Advanced real world issues in marketing and international development of agricultural and food products. Development of an understanding of issues facing policy makers, producers, consumers, and other groups in examining the costs and benefits of various international marketing, trade and development programs. 

",Graduate,Lecture,False,2019-2020,,,
5800,AGIN,International Agriculture Internship Experience,"Students conducting an international internship experience, under the direction and supervision of a faculty member. Previously offered as AG 5100.

Offered for variable credit, 1-6 credit hours, maximum of 12 credit hours.

",Graduate,Lecture,False,2019-2020,,,
5990,AGIN,Advanced Studies in International Agriculture and Natural Resources,"Individual or small group study and/or research in international agriculture and natural resources.

Offered for variable credit, 1-12 credit hours, maximum of 15 credit hours.

",Graduate,Independent Study,False,2019-2020,,,
2113,AGCM,Introduction to Agricultural Communications,"Fundamentals of agricultural news writing and other communication methods. Careers in and the role of the media in agriculture and related fields.  Previously offered as AGCM 2103 and AGCM 4453.

",Undergraduate,Lecture,False,2019-2020,,,
