Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy
1233,AGEC, Fundamentals of Agricultural Economics,"
Survey of the nature, organization, and operation of the agricultural industry: application of economic principles to production and to the marketing of farm-ranch food and fiber products: and investigation of institutions and government as they affect agriculture.
",,,,2019-2020,,,
1233,AGEC, Fundamentals of Agricultural Economics,"
Survey of the nature, organization, and operation of the agricultural industry: application of economic principles to production and to the marketing of farm-ranch food and fiber products: and investigation of institutions and government as they affect agriculture.
",,,,2019-2020,,,
2213,AGEC, Marketing Agricultural Products,"
Study of movement of food and fiber products from the production area to the final consumer. Focus on intermediaries, including transportation agents. Efficiency of performing marketing activities under conditions for perfect and imperfect markets will be emphasized.Prerequisites: AGEC 1233 and AGEC 2223 (may be taken concurrently).
",,,,2019-2020,,,
2213,AGEC, Marketing Agricultural Products,"
Study of movement of food and fiber products from the production area to the final consumer. Focus on intermediaries, including transportation agents. Efficiency of performing marketing activities under conditions for perfect and imperfect markets will be emphasized.Prerequisites: AGEC 1233 and AGEC 2223 (may be taken concurrently).
",,,,2019-2020,,,
2223,AGEC, Food Distribution Systems,"
Study of the nature and functions of the various components of wholesale and retail food distribution. Facility locations, transportation, warehousing, quality control, inventory control, pricing, and other related topics.Prerequisites: AGEC 1233 and AGEC 2213 (may be taken concurrently).
",,,,2019-2020,,,
3203,AGEC, World Food Seminar,"
Orientation and introduction to domestic and international food distribution employment opportunities. (Emphasis on providing a broader knowledge of careers in transportation, logistics, and distribution.)Prerequisites: AGEC 2213 and AGEC 2223 and ECON 2113.
",,,,2019-2020,,,
3213,AGEC, Agricultural Policy,"
Study of the development of agricultural and food policies and evaluation of policies impact on producers and consumers in domestic and international markets.Prerequisites: AGEC 2213 and AGEC 1213 and AGEC 3223 (may be taken concurrently).
",,,,2019-2020,,,
3213,AGEC, Agricultural Policy,"
Study of the development of agricultural and food policies and evaluation of policies impact on producers and consumers in domestic and international markets.Prerequisites: AGEC 2213 and AGEC 1213 and AGEC 3223 (may be taken concurrently).
",,,,2019-2020,,,
3223,AGEC, Agricultural Financial Analysis,"
Introduction to principles and concepts of finance. Financial statement analysis, risk and returns, time value of money, valuation concepts, capital budgeting, investments, and cost of capital.Prerequisites: AGEC 2113 or ECON 2213 and MATH 1113 and AGEC 3213 (may be taken concurrently).
",,,,2019-2020,,,
3233,AGEC, Principles of Transportation,"
A course designed to develop basic competencies in the acquisition of transportation services for food and agricultural products. Emphasis will include: selection of transportation services, legal modes of transportation, shipping documents, rates, claims, and the changing environments for the transportation industry.Prerequisites: AGEC 2213 or ECON 2113 and MATH 1113.
",,,,2019-2020,,,
3233,AGEC, Principles of Transportation,"
A course designed to develop basic competencies in the acquisition of transportation services for food and agricultural products. Emphasis will include: selection of transportation services, legal modes of transportation, shipping documents, rates, claims, and the changing environments for the transportation industry.Prerequisites: AGEC 2213 or ECON 2113 and MATH 1113.
",,,,2019-2020,,,
3253,AGEC, International Trade and Logistics,"
Development of basic competencies in international marketing of food and agricultural products. Focus will be on major markets, international competition, and the impacts of US trade policies and exchange rates on trade.Prerequisites: AGEC 1233 or ECON 2113 and MATH 1113.
",,,,2019-2020,,,
3253,AGEC, International Trade and Logistics,"
Development of basic competencies in international marketing of food and agricultural products. Focus will be on major markets, international competition, and the impacts of US trade policies and exchange rates on trade.Prerequisites: AGEC 1233 or ECON 2113 and MATH 1113.
",,,,2019-2020,,,
4223,AGEC, Principles of Agri-business Management,"
Economic and business principles applied to the organization and operation of farms and ranches, and other agri-business industries.Prerequisites: AGEC 1233 or ECON 2113 and MATH 1113.
",,,,2019-2020,,,
4233,AGEC, Land and Resource Economics,"
Analysis of the economic, political, and institutional forces involved in the control and use of land and natural resources. Emphasis on land as a factor of production in agriculture.Prerequisites: AGEC 1233 or ECON 2113 and MATH 1113.
",,,,2019-2020,,,
4253,AGEC, Agricultural Prices,"
Theories and principles fundamental to the pricing of agriculture commodities. Special emphasis will be placed on marketing conditions affecting price levels. Price and income parity, seasonal and cyclical price variations and futures trading. Prerequisites: senior classification or approval of instructor.Prerequisites: AGEC 1233 or ECON 2113 and MATH 1113.
",,,,2019-2020,,,
5223,AGEC, Farm and Ranch Management,"
Theories of the farm and of the management process; farm-ranch business growth and productive efficiency; control and coordination of the agents of production; risk and uncertainty; agribusiness organization and management; and managerial decision making. Laboratory application of principles of economics to the production process, including analysis of costs, returns, and productivity.
",,,,2019-2020,,,
5233,AGEC, Price Analysis,"
Theories and principles fundamental to pricing of agricultural factors of production and agricultural commodities; relationship of prices within the agricultural sector and between the agricultural sector and the general economy; kinds of price changes; forecasting factors and conditions that affect agricultural prices; futures trading; parity prices; and administrated prices.
",,,,2019-2020,,,
5243,AGEC, Agricultural Policy,"
Theoretical foundations of policy making and economic value of public policies and programs to the agricultural industry; interrelation between the social, political, and economic systems and agriculture; policy development and implementation; and the value of agricultural policy to society.
",,,,2019-2020,,,
