Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy
344,/HIST,History of Africa to 1800,"
   Origins of humankind in Africa; development and spread of pastoralism, agriculture and iron-working; formation of states and empires; impact of Christianity and Islam; rise of international trade in gold, ivory and slaves; African diaspora. Prerequisite: Junior or senior classification. Cross Listing: HIST 344/AFST 344.
",UG,Lecture,False,2020-2021,,,
105,AGCJ,Introduction to Agricultural Communications,"
   Introduction to mass communication, its history, role in society, and especially its unique role in agriculture; importance of mass communication and the communication methods used in modern society; foundation for an understanding of agricultural news and information. Only one of the following will satisfy the requirements for a degree: AGCJ 105 and JOUR 102.
",UG,Lecture,False,2020-2021,,,
281,AGCJ,Journalism Concepts for Agriculture,"
   The role of the news media in covering government, the court systems, corporations, taxation, and insurance; a practical perspective on how journalists interact with public and private institutions from a legal, ethical and social standpoint. Prerequisite: Grade of C or better in AGCJ 105 or concurrent enrollment.
",UG,Lecture,False,2020-2021,,,
285,AGCJ,Directed Studies,"
   Directed study of selected issue in field of agricultural communications with emphasis on collection, synthesis and interpretation of information. Prerequisite: Approval of department advisor.
",UG,Other,False,2020-2021,,,
289,AGCJ,Special Topics in...,"
    Special topics in an identified area of agricultural development. May be repeated for credit. Prerequisite: Approval of department advisor.
",UG,Lecture,False,2020-2021,,,
291,AGCJ,Research,"
   Research conducted under the direction of faculty member in agricultural communications and journalism. May be repeated 2 times for credit. Prerequisites: Freshman or sophomore classification and approval of department advisor.
",UG,Other,False,2020-2021,,,
305,AGCJ,Theory and Practice of Agricultural Publishing,"
   Audience identification, publication content, management and design; analyze existing agricultural publications, identify audiences, advertising base and content. Prerequisites: AGCJ 105; junior or senior classification.
",UG,Lecture,False,2020-2021,,,
306,AGCJ,Theory and Practice of Agricultural Public Relations,"
    Public relations between agricultural producers and their suppliers as a critical part of agricultural communication; public relations objectives, strategies, tactics, evaluation and execution theory and practice examined. Prerequisites: Grade of C or better in AGCJ 105; junior or senior classification.
",UG,Lecture,False,2020-2021,,,
307,AGCJ,Design for Agricultural Media,"
   Principles and practices of agricultural media design, including design and production of printed publications and graphics; computer assisted design and production of media pieces. Required for AGCJ majors and minors. Prerequisite: Junior or senior classification.
",UG,Lecture,True,2020-2021,,,
308,AGCJ,Agricultural Photography,"
   Develop knowledge of photography, editing software, and composition techniques used in the agricultural communications field; develop photography and photo editing skills to a satisfactory level as demonstrated by performance on assignments and exams. Prerequisite: Junior or senior classification.
",UG,Lecture,True,2020-2021,,,
312,AGCJ,Editing for Agricultural Audiences,"
   Principles and practices of editing for agricultural and technical audiences including improving and tightening copy; writing headlines, titles, and subheads; photo editing and captions, graphics and layout; print, broadcast, interactive and other media. Prerequisites: AGCJ 105; junior or senior classification.
",UG,Lecture,True,2020-2021,,,
313,AGCJ,Agricultural Media Writing I,"
   News gathering, writing, editing and ethics for current and emerging mediums used in agricultural communication; includes news identification, basic news writing methods, introduction to public relations, broadcast and Internet writing, interviewing skills, proper use of direct quotes and other news style. Only one of the following will satisfy the requirements for a degree: AGCJ 313 and JOUR 203. Prerequisite: Grade of C or better in AGCJ 105 and AGCJ 312.
",UG,Lecture,True,2020-2021,,,
314,AGCJ,Agricultural Media Writing II,"
   Interpretative agricultural news gathering and writing for all media types; basic media law and ethics, interviewing skills with assigned practice writing about agriculture, and science and technology, including meeting and event coverage both on and off campus; print, broadcast, interactive and other media. Prerequisites: Grade of C or better in AGCJ 312 and AGCJ 313; junior or senior classification.
",UG,Lecture,True,2020-2021,,,
380,AGCJ,Workshop in Agricultural Communications and Journalism,"
   The study, understanding and solution of human-agricultural problems based on theory learned in the classroom, library, laboratory and fieldwork completed by individuals and teams. Prerequisite: Junior or senior classification.
",UG,Lecture,False,2020-2021,,,
404,AGCJ,Communicating Agricultural Information to the Public,"
   Use of agricultural journalism principles and techniques to communicate scientific information related to agriculture, agribusiness, natural resources and life sciences to the general public; communication processes include audience identification, writing, editing and production of agricultural science-based manuscripts for popular and refereed publications. Prerequisite: Junior or senior classification.
",UG,Lecture,True,2020-2021,,,
405,AGCJ,Agricultural Publications Production,"
   Study and practice of the principles and concepts of designing, writing, editing, producing and distributing the AgriLeader magazine and Web site; includes practical applications of writing feature articles, magazine and Web site design, advertising sales, layout and graphics. May be repeated one time for credit. Prerequisites: Grade of C or better in AGCJ 312;  junior or senior classification.
",UG,Lecture,True,2020-2021,,,
406,AGCJ,Agricultural Public Relations Methods,"
   Agricultural public relations campaign analysis; public relations case studies and methods including writing public relations plans for agricultural entities, producing public relations components and evaluating public relations objectives, strategies and tactics. Prerequisites: Junior or senior classification.
",UG,Lecture,True,2020-2021,,,
407,AGCJ,Web Authoring in Agricultural Communication,"
   Study and practice of basic website design theories, principles and writing for the web; use of web authoring software (not a programming class) to create online publications tailored for agricultural audiences; emphasizes informative content and functional design. Prerequisites: Grade of C or better in AGCJ 307; junior or senior classification.
",UG,Lecture,True,2020-2021,,,
409,AGCJ,Television Production for Agricultural Journalists,"
   Fundamental concepts required to develop a broadcast quality video production; uses the high definition facilities of KAMU-TV and TTVN; hands-on experience in video production including producing, shooting and hosting a professional program series broadcast on KAMU-TV. Prerequisite: Junior or senior classification.
",UG,Lecture,True,2020-2021,,,
413,AGCJ,Emerging Media in Agriculture,"
   Popular emerging media in agriculture to communicate, build and market a brand online; understanding the strategy behind the posts and other communications; create emerging media communications strategies for academic or business entities that may be implemented upon completion of course. Prerequisite: Grade of C or better in AGCJ 313.
",UG,Lecture,False,2020-2021,,,
485,AGCJ,Directed Studies,"
   Directed individual study of selected problems in agricultural communications, communication methods and the communication profession with emphasis on collection, analysis and presentation of information. Prerequisites: Junior or senior classification; approval of department advisor.
",UG,Lecture,False,2020-2021,,,
489,AGCJ,Special Topics in...,"
   Special topics in an identified area of agricultural communications and journalism. May be repeated for credit. Prerequisite: Junior or senior classification.
",UG,Lecture,True,2020-2021,,,
491,AGCJ,Research,"
   Research conducted under the direction of faculty member in agricultural communications and journalism. May be repeated 3 times for credit. Registration in multiple sections of this course are possible within a given semester provided that the per semester credit hour limit is not exceeded. Prerequisites: Junior or senior classification and approval of department advisor.
",UG,Other,False,2020-2021,,,
105,AGEC,Introduction to Agricultural Economics,"
(AGRI 2317) Introduction to Agricultural Economics.   Characteristics of our economic system and basic economic concepts; survey of the farm and ranch firm and its organization and management; structure and operation of the marketing system; functional and institutional aspects of agricultural finance; government farm programs.
",UG,Lecture,False,2020-2021,,,
117,AGEC,Critical Thinking and Decision Making in Agricultural Economics,"
  An introductory seminar in the Department of Agricultural Economics; emphasis on resources and opportunities available in the department; awareness and understanding of professional development; emphasis on writing as a critical communication skill. Prerequisites: AGEC 105, ECON 203, or grade of C or better in ECON 202; freshman classification; Agricultural Economics and Agribusiness majors only.
",UG,Other,False,2020-2021,,,
216,AGEC,Fundamentals of the AgriFood Sales Industry,"
   Fundamentals of professional business to business sales in AgriFood firms; opportunities to interact with successful salespeople in AgriFood firms; focus on career development, exploration of undergraduate internships in professional sales and identification of basic sales theories currently in use in AgriFood firms; learning to network extensively with AgriFood industry professionals and developing a mentor relationship.
",UG,Lecture,False,2020-2021,,,
216,AGEC,Fundamentals of the AgriFood Sales Industry,"
   Fundamentals of professional business to business sales in AgriFood firms; opportunities to interact with successful salespeople in AgriFood firms; focus on career development, exploration of undergraduate internships in professional sales and identification of basic sales theories currently in use in AgriFood firms; learning to network extensively with AgriFood industry professionals and developing a mentor relationship.
",UG,Lecture,False,2020-2021,,,
217,AGEC,Fundamentals of Agricultural Economics Analysis,"
   Relates contemporary agribusiness issues to economic and financial management, illustrating their integration toward pragmatic applications in the agricultural industry; lab focuses on the integration of mathematics and economics with computer skills directed toward spreadsheets, databases, web pages, and communications software. Prerequisites: AGEC 105; ENGL 103 or ENGL 104; MATH 141, MATH 140, or MATH 166; MATH 142; sophomore or junior agricultural economics or agribusiness majors; or approval of department head.
",UG,Lecture,True,2020-2021,,,
223,AGEC,Establishing Agribusiness Entrepreneurship Networks I,"
    Introduction to successful entrepreneurs and other professionals, identifying suggested strategies and tactics in starting and sustaining viable rural and metropolitan business ventures; emphasis on importance of and how to develop relationships with a broad spectrum of mentors. Prerequisite: Open to all majors.
",UG,Lecture,False,2020-2021,,,
285,AGEC,Directed Studies,"
  Directed study of selected problems in agricultural economics. Prerequisites: AGEC 105; freshman or sophomore classification in agricultural economics, agribusiness, or approval of instructor and department head; 2.5 GPR in major, overall, and CBK courses, if applicable; see an academic advisor in Room 214 AGLS.
",UG,Other,False,2020-2021,,,
289,AGEC,Special Topics in...,"
   Selected topics in an identified area of agricultural economics. May be repeated for credit. Prerequisites: Freshman or sophomore classification and approval of department head.
",UG,Lecture,False,2020-2021,,,
