Department Name,Course Catalogue Number,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy
African American Studies (AFRO),453,Plantation Soc in America,"
Comparative and interdisciplinary approach to study of the development of New World societies with focus on plantation agriculture from the 15th to 19th centuries. Course considers Portuguese, Spanish, British, French, and Dutch colonization. Students will study the relative importance of culture versus economy and demography in determining social structure. Same as HIST 470. 3 undergraduate hours. 4 graduate hours. Prerequisite: A survey course in early United States history and/or western civilization; junior status, or consent of the instructor.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),100,Introduction to Applied Microeconomic,"
Principles of microeconomics; demand, production, supply, elasticity, markets, and trade are presented and used in the analysis of decisions of individuals relating to agricultural and food production, consumption, and natural resource use. Credit is not given for ACE 100 if credit for ECON 102 has been earned. This course satisfies the General Education Criteria for:Social & Beh Sci - Soc Sci",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),100,Introduction to Applied Microeconomic,"
Principles of microeconomics; demand, production, supply, elasticity, markets, and trade are presented and used in the analysis of decisions of individuals relating to agricultural and food production, consumption, and natural resource use. Credit is not given for ACE 100 if credit for ECON 102 has been earned. This course satisfies the General Education Criteria for:Social & Beh Sci - Soc Sci",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),199,Undergraduate Open Semina,"
Experimental course on a special topic in agricultural and consumer economics. Topic may not be repeated except in accordance with the Code. Approved for Letter and S/U grading. May be repeated if topics vary, up to 5 hours in the same semester, to a maximum of 12 hours.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),203,Introduction to Public Policy and La,"
Introduces students to public policy and law through federal legislation addressing agriculture, food, natural resources and rural economic development. Also introduces students to basic legal issues regarding judicial review of statutes, statutory interpretation and the Constitutional limits on Congressional powers. In addition to lectures, students will also participate in simulated legislative drafting efforts through assigned historic roles of committee members to write legislative proposals, debate and amendments.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),203,Introduction to Public Policy and La,"
Introduces students to public policy and law through federal legislation addressing agriculture, food, natural resources and rural economic development. Also introduces students to basic legal issues regarding judicial review of statutes, statutory interpretation and the Constitutional limits on Congressional powers. In addition to lectures, students will also participate in simulated legislative drafting efforts through assigned historic roles of committee members to write legislative proposals, debate and amendments.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),222,Agricultural Marketin,"
Examines factors affecting the size of the market for agricultural products and the scope of marketing activities; functions and services performed; pricing agricultural products, including the nature and causes of price fluctuations; and costs of marketing and efforts to reduce costs and improve the marketing system.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),231,Food and Agribusiness Mg,"
Overview of management in the food and agribusiness sector. Major topics covered include: introduction to the food and agribusiness sector; the environment of the firm; fundamentals, structural design, and change in organizations; leadership, motivation, communication; and planning and control. Coverage is at the introductory level with a focus on textbook material and current issues.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),231,Food and Agribusiness Mg,"
Overview of management in the food and agribusiness sector. Major topics covered include: introduction to the food and agribusiness sector; the environment of the firm; fundamentals, structural design, and change in organizations; leadership, motivation, communication; and planning and control. Coverage is at the introductory level with a focus on textbook material and current issues.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),251,The World Food Econom,"
Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. Prerequisite: ACE 100 or ECON 102 or consent of instructor.This course satisfies the General Education Criteria for:Cultural Studies - Non-WestSocial & Beh Sci - Soc Sci",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),251,The World Food Econom,"
Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. Prerequisite: ACE 100 or ECON 102 or consent of instructor.This course satisfies the General Education Criteria for:Cultural Studies - Non-WestSocial & Beh Sci - Soc Sci",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),255,Economics of Food and Environmental Justic,"
Access to food and a healthy environment varies across rural/urban location, race, gender, and income in the U.S. Students in this course will analyze questions of ""food justice"" and ""environmental justice"" through the lens of economic theory. Students will learn important concepts in the scholarship of minority cultures, learn facts about how food security and experience of environmental quality varies among groups in the U.S., and learn how to use economic theory to understand those patterns and analyze policies to correct inequities.This course satisfies the General Education Criteria for:Social & Beh Sci - Soc SciCultural Studies - US Minority",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),261,Applied Statistical Method,"
Statistical methods and computer applications for agricultural and consumer economics, including descriptive statistics, probability distribution, interval estimation, hypothesis testing, analysis of variance, simple and multiple regression, and non-parametric methods. Credit is not given for ACE 261 if credit for any of ECON 202, CPSC 440, STAT 100, or equivalent has been earned. Prerequisite: MATH 124 or MATH 125. This course satisfies the General Education Criteria for:Quantitative Reasoning I",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),291,Ag Policy & Leadershi,"
Current policy issues affecting agriculture and the legislative and rulemaking process that determines those policies will be studied. A trip to Washington, DC during spring break will give the students an opportunity to interact with legislators, federal agencies, organization leaders and representatives of the national and international agricultural policy community to better understand the policy making process and the issues moving through it. Student participation will focus on developing leadership skills and having an opportunity to meet with leaders who are actively engaged in creating and changing public policy. Additional fees may apply. See Class Schedule. Prerequisite: Junior or Senior standing required or the approval of the instructor.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),292,"Farm, Food & Environmental Polic","
This course seeks to broaden students' understanding of the breadth and complexity of agriculture in the United States and the challenges and opportunities to be found in the U.S. food and agricultural system. It includes a week-long trip to an area outside of Illinois (such as California) during spring break where students will meet with farm, food and environmental leaders who are deeply involved in driving the issues shaping farm, food, and environmental policy. Additional fees may apply. See Class Schedule. Prerequisite: Sophomore, Junior or Senior standing required AND approval of the instructor.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),292,"Farm, Food & Environmental Polic","
This course seeks to broaden students' understanding of the breadth and complexity of agriculture in the United States and the challenges and opportunities to be found in the U.S. food and agricultural system. It includes a week-long trip to an area outside of Illinois (such as California) during spring break where students will meet with farm, food and environmental leaders who are deeply involved in driving the issues shaping farm, food, and environmental policy. Additional fees may apply. See Class Schedule. Prerequisite: Sophomore, Junior or Senior standing required AND approval of the instructor.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),293,Off-Campus Internshi,"
Supervised, off-campus experience in a field directly pertaining to a subject matter in agricultural and consumer economics. Approved for S/U grading only. May be repeated, up to 4 hours in the same semester, to a maximum of 10 hours. Independent Study courses are limited to 12 hours total applying to a degree in ACES. Prerequisite: Sophomore standing, cumulative GPA of 2. 5 or above at the time the internship is arranged, and consent of instructor.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),300,Intermediate Applied Microeconomic,"
Why could energy policy affect the profitability of farmers? Is it better to help families in developing countries with food aid or mini cash grants? Who will bear the cost of a carbon tax? Microeconomic theory helps us answer many important questions about markets and human behavior. Students in ACE 300 will learn rigorous intermediate microeconomic theory through applications to areas such as agriculture, development, finance, consumer behavior, and the environment. Credit is not given for both ACE 300 and ECON 302. Prerequisite: ACE 100 or ECON 102.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),300,Intermediate Applied Microeconomic,"
Why could energy policy affect the profitability of farmers? Is it better to help families in developing countries with food aid or mini cash grants? Who will bear the cost of a carbon tax? Microeconomic theory helps us answer many important questions about markets and human behavior. Students in ACE 300 will learn rigorous intermediate microeconomic theory through applications to areas such as agriculture, development, finance, consumer behavior, and the environment. Credit is not given for both ACE 300 and ECON 302. Prerequisite: ACE 100 or ECON 102.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),306,Food La,"
Explores the legal and political dimensions of food law, policy and trade in the United States and major trading partners. Examines the development of major national and state laws that apply to production, distribution and retail sale of food. Evaluates current issues in food regulation, including: biotechnology, organics, health labeling claims, food safety and products liability litigation. Discusses food regulation in other countries within the context of international treaties such as the World Trade Organization and United Nations.
",UG,,True,2020-2021,,,
Agr & Consumer Economics (ACE),335,Food Marketing and Behavio,"
This course will explore the food choices consumers make and what this means in the food and agribusiness industries. Students will also learn how to conduct basic research related to consumer behavior, including developing a research question, designing high quality surveys/experiments, and analyzing data.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),335,Food Marketing and Behavio,"
This course will explore the food choices consumers make and what this means in the food and agribusiness industries. Students will also learn how to conduct basic research related to consumer behavior, including developing a research question, designing high quality surveys/experiments, and analyzing data.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),341,Issues&Careers in Applied Eco,"
Students study contemporary issues and career opportunities associated with various concentrations in the Department of Agricultural and Consumer Economics. An in-depth dialogue with industry professionals helps develop an understanding of the skill sets needed to succeed in each of the different career paths discussed. May not be repeated for credit.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),398,Semina,"
Group discussion on a special topic in a field of study directly pertaining to subject matter in agricultural and consumer economics. Approved for Letter and S/U grading. May be repeated to 3 hours in a semester, up to a maximum of 12 total hours. Credit is not given for more than a total of 12 hours of Independent Study (IND) courses applying to a degree in ACES. Prerequisite: Junior standing and consent of instructor.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),403,Agricultural La,"
Relation of common-law principles and statutory law to land tenure, farm tenancy, farm labor, farm management, taxation, and other problems involving agriculture. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing.
",UG,,True,2020-2021,,,
Agr & Consumer Economics (ACE),427,Commodity Price Analysi,"
A comprehensive and in-depth survey of commodity price analysis with emphasis on the fundamental factors affecting prices of agricultural products; sources of information relating to production and demand factors; government activities as they relate to prices of agricultural products; technical analysis of agricultural product prices; and market efficiency and forecasting. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACE 100 or ECON 102; ACE 261, or equivalent.
",UG,,False,2020-2021,,,
Agr & Consumer Economics (ACE),430,Food Marketin,"
Performance of the food system; marketing margins; transportation, advertising, and retailing of food products; structure, conduct, and performance of food marketing firms and industries; government and public interest in the food system. Same as FSHN 425. 3 undergraduate hours. 3 graduate hours. Prerequisite: ACE 100 or ECON 102, ACE 222 recommended.
",UG,,False,2020-2021,,,
