Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy
1,A A E,COOPERATIVE EDUCATION/CO-OP IN AGRICULTURAL & APPLIED ECONOMICS,"
Full-time off-campus work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career. Students receive credit only for the term in which they are actively enrolled and working. Enroll Info: The same work experience may not count towards credit in A A E 399. Students must have a declared major in Agricultural and Applied Economics or Agricultural Business Management and will require consent of the supervising instructor and academic advisor.
",,,,2020-2021,,,
215, A A E,INTRODUCTION TO AGRICULTURAL AND APPLIED ECONOMICS,"
Introduction to economic ways of thinking about a wide range of problems and issues. Topics include consumption, production, prices, markets, finance, trade, pollution, growth, farms, taxes, and development. Enroll Info: None
",,,,2020-2021,,,
319,A A E,THE INTERNATIONAL AGRICULTURAL ECONOMY,"
The nature of trade in agricultural products, trade policies and practices of importing and exporting nations, agricultural policies of major trading blocks, market instability and other primary commodity problems, recent history and current developments in multilateral trade policy. Enroll Info: None
",,,,2020-2021,,,
322,A A E,COMMODITY MARKETS,"
Principles and practices in marketing systems for U.S. agricultural commodities. Vertical organization; forward contracts, future markets, agricultural options and price formation. Alternate management at the farm, processor, wholesale and retail levels. Enroll Info: None
",,,,2020-2021,,,
340,A A E/​C&E SOC/​SOC ,ISSUES IN FOOD SYSTEMS,"
With primary emphasis on the U.S., the course covers social, economic and biological dimensions of food systems. Using classroom and community experience, the course combines academic approaches with practitioner knowledge. A community project is required. Enroll Info: None
",,,,2020-2021,,,
350,A A E/​AGRONOMY/​INTER-AG/​NUTR SCI ,WORLD HUNGER AND MALNUTRITION,"
Hunger and poverty in developing countries and the United States. Topics include: nutrition and health, population, food production and availability, and income distribution and employment. Enroll Info: None
",,,,2020-2021,,,
375,A A E,SPECIAL TOPICS,"
Special topics on contemporary issues relevant to agricultural and applied economics. Enroll Info: None
",,,,2020-2021,,,
399,A A E,COORDINATIVE INTERNSHIP/COOPERATIVE EDUCATION,"
An internship under guidance of a faculty or instructional academic staff member in Agricultural and Applied Economics and internship site supervisor. Students are responsible for arranging the work and credits with the AAE faculty or instructional academic staff member and the internship site supervisor. Enroll Info: None
",,,,2020-2021,,,
400,A A E,STUDY ABROAD IN AGRICULTURAL AND APPLIED ECONOMICS,"
Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Enroll Info: Current enrollment in a UW-Madison study abroad program
",,,,2020-2021,,,
419,A A E,AGRICULTURAL FINANCE,"
Introduction to basic finance concepts.  Topics include financial statements, ratio analysis and interpretation, investment analysis, capital budgeting, credit concepts, and capital markets. Enroll Info: None
",,,,2020-2021,,,
